channel_num;channel_id;name_cc
-4.0;UCscDWYhNER2NvEVKfL0aYwA;the blaze
-3.0;UCrvhNP_lWuPIP6QZzJmM-bw;new york post
-2.0;UCHJuQZuzapBh-CuhRYxIZrg;insider
-1.0;UCw3fku0sH3qA3c3pZeJwdAw;daily mail
6.0;UCupvZG-5ko_eiXAupbDfxWw;cnn
8.0;UCLXo7UDZvByw2ixzpQCufnA;vox
10.0;UCBi2mrWuNuyYy4gbM6fU18Q;abc news
16.0;UC16niRr50-MSBwiO3YDb3RA;bbc news
31.0;UCXIJgqnII2ZOINSWNOGFThA;fox news
62.0;UCqnbDFdCpuN8CMEg0VuEBqA;the new york times
64.0;UCaXkIU1QidjPwiAYu6GcHjg;msnbc
67.0;UC8p1vwvWtl6T73JiExfWs1g;cbs news
77.0;UCUMZ7gohGI9HcU9VNsr2FJQ;bloomberg
82.0;UCK7tptUDHh-RYDsdxO1-5QQ;wall street journal
87.0;UCaeO5vkdj5xOQHp4UmIN6dw;the daily wire
88.0;UCeY0bbntWzzVIaj2z3QigXg;nbc news
122.0;UCP6HGa63sBC7-KHtkme-p-g;usa today
136.0;UC0p5jTq6Xx_DosDFxVXnWaQ;the economist
140.0;UCHpw8xwDNhU9gdohEcJu4aA;the guardian
143.0;UC52X5wxOL_s5yw0dQk7NtgA;associated press
173.0;UCHd62-u_v4DvJ8TCFtpi4GA;washington post
200.0;UCf4FYTsGFFcdc68AUPIU3RA;buzzfeed news
205.0;UCmh7afBz-uWwOSSNTqUBAhg;forbes
215.0;UC8Su5vZCXWRag13H53zWVwA;time
259.0;UCzuqE7-t13O4NIDYJfakrhw;democracy now!
280.0;UCZfsrIV68Oegr5bJgAMLBDA;huffpost
315.0;UC0uVZd8N7FfIZnPu0y7o95A;reasontv
353.0;UCsD-Qms-AkXDrsU962OicLw;the new yorker
355.0;UCK0z0_5uL7mb9IjntOKi5XQ;the atlantic
527.0;UCJnS2EsPfv46u1JR8cnD0NA;npr
574.0;UCYC4ijpFZY_CtdElWFyy-Gg;slate
706.0;UCmgnsaQIK1IR808Ebde-ssA;breitbart news
723.0;UCP4BdwPKyYnfRLjSNfGAPRA;daily caller
735.0;UCv002AUCZaPNwiADqwchijg;the intercept
1199.0;UCdn-M_vxWEK07X3t19ximDQ;washington free beac...
1550.0;UCbWB33FQvFiV0Pq9Calkgzw;mother jones
1764.0;UC2a35q7eyzkfoIusBzdH4Hw;newsweek
